DATE,SPECIES,Sample Number,Type,MANTLE LENGTH_MM,Units,Type,WEIGHT_G,Units
6/10/2023,ILLEX,1,MANTLE LENGTH,118,MM,WEIGHT,36,GM
6/10/2023,ILLEX,2,MANTLE LENGTH,123,MM,WEIGHT,46,GM
6/10/2023,ILLEX,3,MANTLE LENGTH,133,MM,WEIGHT,48,GM
6/10/2023,ILLEX,4,MANTLE LENGTH,123,MM,WEIGHT,40,GM
6/10/2023,ILLEX,5,MANTLE LENGTH,133,MM,WEIGHT,44,GM
6/10/2023,ILLEX,6,MANTLE LENGTH,129,MM,WEIGHT,46,GM
6/10/2023,ILLEX,7,MANTLE LENGTH,130,MM,WEIGHT,48,GM
6/10/2023,ILLEX,8,MANTLE LENGTH,129,MM,WEIGHT,54,GM
6/10/2023,ILLEX,9,MANTLE LENGTH,128,MM,WEIGHT,46,GM
6/10/2023,ILLEX,10,MANTLE LENGTH,113,MM,WEIGHT,38,GM
6/10/2023,ILLEX,11,MANTLE LENGTH,126,MM,WEIGHT,48,GM
6/10/2023,ILLEX,12,MANTLE LENGTH,129,MM,WEIGHT,36,GM
6/10/2023,ILLEX,13,MANTLE LENGTH,122,MM,WEIGHT,38,GM
6/10/2023,ILLEX,14,MANTLE LENGTH,121,MM,WEIGHT,50,GM
6/10/2023,ILLEX,15,MANTLE LENGTH,120,MM,WEIGHT,40,GM
6/10/2023,ILLEX,16,MANTLE LENGTH,125,MM,WEIGHT,38,GM
6/10/2023,ILLEX,17,MANTLE LENGTH,118,MM,WEIGHT,32,GM
6/10/2023,ILLEX,18,MANTLE LENGTH,129,MM,WEIGHT,42,GM
6/10/2023,ILLEX,19,MANTLE LENGTH,142,MM,WEIGHT,52,GM
6/10/2023,ILLEX,20,MANTLE LENGTH,128,MM,WEIGHT,46,GM
6/10/2023,ILLEX,21,MANTLE LENGTH,135,MM,WEIGHT,48,GM
6/10/2023,ILLEX,22,MANTLE LENGTH,141,MM,WEIGHT,62,GM
6/10/2023,ILLEX,23,MANTLE LENGTH,139,MM,WEIGHT,42,GM
6/10/2023,ILLEX,24,MANTLE LENGTH,123,MM,WEIGHT,42,GM
6/10/2023,ILLEX,25,MANTLE LENGTH,129,MM,WEIGHT,46,GM
6/10/2023,ILLEX,26,MANTLE LENGTH,148,MM,WEIGHT,74,GM
6/10/2023,ILLEX,27,MANTLE LENGTH,127,MM,WEIGHT,44,GM
6/10/2023,ILLEX,28,MANTLE LENGTH,122,MM,WEIGHT,46,GM
6/10/2023,ILLEX,29,MANTLE LENGTH,123,MM,WEIGHT,48,GM
6/10/2023,ILLEX,30,MANTLE LENGTH,129,MM,WEIGHT,44,GM
6/10/2023,ILLEX,31,MANTLE LENGTH,131,MM,WEIGHT,42,GM
6/10/2023,ILLEX,32,MANTLE LENGTH,120,MM,WEIGHT,44,GM
6/10/2023,ILLEX,33,MANTLE LENGTH,129,MM,WEIGHT,38,GM
6/10/2023,ILLEX,34,MANTLE LENGTH,131,MM,WEIGHT,52,GM
6/10/2023,ILLEX,35,MANTLE LENGTH,150,MM,WEIGHT,62,GM
6/10/2023,ILLEX,36,MANTLE LENGTH,122,MM,WEIGHT,38,GM
6/10/2023,ILLEX,37,MANTLE LENGTH,127,MM,WEIGHT,38,GM
6/10/2023,ILLEX,38,MANTLE LENGTH,137,MM,WEIGHT,58,GM
6/10/2023,ILLEX,39,MANTLE LENGTH,119,MM,WEIGHT,32,GM
