DATE,SPECIES,Sample Number,Type,MANTLE LENGTH_MM,Units,Type,WEIGHT_G,Units
6/10/2023,ILLEX,40,MANTLE LENGTH,127,MM,WEIGHT,52,GM
6/10/2023,ILLEX,41,MANTLE LENGTH,132,MM,WEIGHT,42,GM
6/10/2023,ILLEX,42,MANTLE LENGTH,122,MM,WEIGHT,44,GM
6/10/2023,ILLEX,43,MANTLE LENGTH,132,MM,WEIGHT,42,GM
6/10/2023,ILLEX,44,MANTLE LENGTH,124,MM,WEIGHT,30,GM
6/10/2023,ILLEX,45,MANTLE LENGTH,125,MM,WEIGHT,34,GM
6/10/2023,ILLEX,46,MANTLE LENGTH,113,MM,WEIGHT,30,GM
6/10/2023,ILLEX,47,MANTLE LENGTH,118,MM,WEIGHT,32,GM
6/10/2023,ILLEX,48,MANTLE LENGTH,137,MM,WEIGHT,50,GM
6/10/2023,ILLEX,49,MANTLE LENGTH,124,MM,WEIGHT,30,GM
6/10/2023,ILLEX,50,MANTLE LENGTH,112,MM,WEIGHT,32,GM
6/10/2023,ILLEX,51,MANTLE LENGTH,117,MM,WEIGHT,34,GM
6/10/2023,ILLEX,52,MANTLE LENGTH,133,MM,WEIGHT,42,GM
6/10/2023,ILLEX,53,MANTLE LENGTH,141,MM,WEIGHT,56,GM
6/10/2023,ILLEX,54,MANTLE LENGTH,131,MM,WEIGHT,46,GM
6/10/2023,ILLEX,55,MANTLE LENGTH,127,MM,WEIGHT,36,GM
6/10/2023,ILLEX,56,MANTLE LENGTH,135,MM,WEIGHT,58,GM
6/10/2023,ILLEX,57,MANTLE LENGTH,125,MM,WEIGHT,42,GM
6/10/2023,ILLEX,58,MANTLE LENGTH,126,MM,WEIGHT,42,GM
6/10/2023,ILLEX,59,MANTLE LENGTH,133,MM,WEIGHT,46,GM
6/10/2023,ILLEX,60,MANTLE LENGTH,120,MM,WEIGHT,42,GM
6/10/2023,ILLEX,61,MANTLE LENGTH,124,MM,WEIGHT,44,GM
6/10/2023,ILLEX,62,MANTLE LENGTH,135,MM,WEIGHT,48,GM
6/10/2023,ILLEX,63,MANTLE LENGTH,154,MM,WEIGHT,66,GM
6/10/2023,ILLEX,64,MANTLE LENGTH,130,MM,WEIGHT,40,GM
6/10/2023,ILLEX,65,MANTLE LENGTH,126,MM,WEIGHT,44,GM
6/10/2023,ILLEX,66,MANTLE LENGTH,133,MM,WEIGHT,46,GM
6/10/2023,ILLEX,67,MANTLE LENGTH,134,MM,WEIGHT,56,GM
6/10/2023,ILLEX,68,MANTLE LENGTH,135,MM,WEIGHT,42,GM
6/10/2023,ILLEX,69,MANTLE LENGTH,151,MM,WEIGHT,80,GM
6/10/2023,ILLEX,70,MANTLE LENGTH,137,MM,WEIGHT,50,GM
6/10/2023,ILLEX,71,MANTLE LENGTH,128,MM,WEIGHT,40,GM
6/10/2023,ILLEX,72,MANTLE LENGTH,120,MM,WEIGHT,32,GM
6/10/2023,ILLEX,73,MANTLE LENGTH,115,MM,WEIGHT,36,GM
6/10/2023,ILLEX,74,MANTLE LENGTH,121,MM,WEIGHT,36,GM
6/10/2023,ILLEX,75,MANTLE LENGTH,119,MM,WEIGHT,34,GM
6/10/2023,ILLEX,76,MANTLE LENGTH,129,MM,WEIGHT,38,GM
6/10/2023,ILLEX,77,MANTLE LENGTH,216,MM,WEIGHT,194,GM
6/10/2023,ILLEX,78,MANTLE LENGTH,138,MM,WEIGHT,52,GM
6/10/2023,ILLEX,79,MANTLE LENGTH,130,MM,WEIGHT,42,GM
6/10/2023,ILLEX,80,MANTLE LENGTH,140,MM,WEIGHT,50,GM
6/10/2023,ILLEX,81,MANTLE LENGTH,136,MM,WEIGHT,48,GM
6/10/2023,ILLEX,82,MANTLE LENGTH,130,MM,WEIGHT,50,GM
6/10/2023,ILLEX,83,MANTLE LENGTH,122,MM,WEIGHT,36,GM
6/10/2023,ILLEX,84,MANTLE LENGTH,120,MM,WEIGHT,32,GM
6/10/2023,ILLEX,85,MANTLE LENGTH,124,MM,WEIGHT,38,GM
6/10/2023,ILLEX,86,MANTLE LENGTH,127,MM,WEIGHT,34,GM
6/10/2023,ILLEX,87,MANTLE LENGTH,141,MM,WEIGHT,56,GM
6/10/2023,ILLEX,88,MANTLE LENGTH,129,MM,WEIGHT,40,GM
6/10/2023,ILLEX,89,MANTLE LENGTH,133,MM,WEIGHT,48,GM
6/10/2023,ILLEX,90,MANTLE LENGTH,115,MM,WEIGHT,32,GM
6/10/2023,ILLEX,91,MANTLE LENGTH,120,MM,WEIGHT,38,GM
6/10/2023,ILLEX,92,MANTLE LENGTH,143,MM,WEIGHT,54,GM
6/10/2023,ILLEX,93,MANTLE LENGTH,121,MM,WEIGHT,36,GM
6/10/2023,ILLEX,94,MANTLE LENGTH,135,MM,WEIGHT,40,GM
6/10/2023,ILLEX,95,MANTLE LENGTH,138,MM,WEIGHT,52,GM
6/10/2023,ILLEX,96,MANTLE LENGTH,136,MM,WEIGHT,46,GM
6/10/2023,ILLEX,97,MANTLE LENGTH,145,MM,WEIGHT,52,GM
6/10/2023,ILLEX,98,MANTLE LENGTH,135,MM,WEIGHT,42,GM
6/10/2023,ILLEX,99,MANTLE LENGTH,132,MM,WEIGHT,46,GM
6/10/2023,ILLEX,100,MANTLE LENGTH,143,MM,WEIGHT,52,GM
6/10/2023,ILLEX,101,MANTLE LENGTH,123,MM,WEIGHT,38,GM
6/10/2023,ILLEX,102,MANTLE LENGTH,131,MM,WEIGHT,48,GM
6/10/2023,ILLEX,103,MANTLE LENGTH,134,MM,WEIGHT,42,GM
6/10/2023,ILLEX,104,MANTLE LENGTH,128,MM,WEIGHT,46,GM
6/10/2023,ILLEX,105,MANTLE LENGTH,144,MM,WEIGHT,54,GM
6/10/2023,ILLEX,106,MANTLE LENGTH,134,MM,WEIGHT,44,GM
6/10/2023,ILLEX,107,MANTLE LENGTH,135,MM,WEIGHT,46,GM
6/10/2023,ILLEX,108,MANTLE LENGTH,124,MM,WEIGHT,44,GM
6/10/2023,ILLEX,109,MANTLE LENGTH,129,MM,WEIGHT,44,GM
6/10/2023,ILLEX,110,MANTLE LENGTH,101,MM,WEIGHT,34,GM
6/10/2023,ILLEX,111,MANTLE LENGTH,185,MM,WEIGHT,122,GM
6/10/2023,ILLEX,112,MANTLE LENGTH,139,MM,WEIGHT,44,GM
6/10/2023,ILLEX,113,MANTLE LENGTH,144,MM,WEIGHT,60,GM
6/10/2023,ILLEX,114,MANTLE LENGTH,123,MM,WEIGHT,42,GM
6/10/2023,ILLEX,115,MANTLE LENGTH,140,MM,WEIGHT,50,GM
6/10/2023,ILLEX,116,MANTLE LENGTH,125,MM,WEIGHT,38,GM
6/10/2023,ILLEX,117,MANTLE LENGTH,112,MM,WEIGHT,32,GM
6/10/2023,ILLEX,118,MANTLE LENGTH,129,MM,WEIGHT,40,GM
6/10/2023,ILLEX,119,MANTLE LENGTH,125,MM,WEIGHT,34,GM
6/10/2023,ILLEX,120,MANTLE LENGTH,162,MM,WEIGHT,80,GM
6/10/2023,ILLEX,121,MANTLE LENGTH,126,MM,WEIGHT,34,GM
6/10/2023,ILLEX,122,MANTLE LENGTH,123,MM,WEIGHT,40,GM
6/10/2023,ILLEX,123,MANTLE LENGTH,120,MM,WEIGHT,34,GM
6/10/2023,ILLEX,124,MANTLE LENGTH,122,MM,WEIGHT,36,GM
6/10/2023,ILLEX,125,MANTLE LENGTH,138,MM,WEIGHT,50,GM
6/10/2023,ILLEX,126,MANTLE LENGTH,120,MM,WEIGHT,30,GM
6/10/2023,ILLEX,127,MANTLE LENGTH,115,MM,WEIGHT,32,GM
6/10/2023,ILLEX,128,MANTLE LENGTH,119,MM,WEIGHT,36,GM
6/10/2023,ILLEX,129,MANTLE LENGTH,130,MM,WEIGHT,44,GM
6/10/2023,ILLEX,130,MANTLE LENGTH,128,MM,WEIGHT,40,GM
6/10/2023,ILLEX,131,MANTLE LENGTH,132,MM,WEIGHT,42,GM
6/10/2023,ILLEX,132,MANTLE LENGTH,128,MM,WEIGHT,40,GM
6/10/2023,ILLEX,133,MANTLE LENGTH,153,MM,WEIGHT,54,GM
6/10/2023,ILLEX,134,MANTLE LENGTH,146,MM,WEIGHT,2,GM
6/10/2023,ILLEX,135,MANTLE LENGTH,125,MM,WEIGHT,40,GM
6/10/2023,ILLEX,136,MANTLE LENGTH,132,MM,WEIGHT,46,GM
6/10/2023,ILLEX,137,MANTLE LENGTH,127,MM,,,
6/10/2023,ILLEX,138,MANTLE LENGTH,126,MM,WEIGHT,34,GM
6/10/2023,ILLEX,139,MANTLE LENGTH,129,MM,WEIGHT,34,GM
6/10/2023,ILLEX,140,MANTLE LENGTH,132,MM,WEIGHT,38,GM
6/10/2023,ILLEX,141,MANTLE LENGTH,115,MM,WEIGHT,30,GM
6/10/2023,ILLEX,142,MANTLE LENGTH,131,MM,WEIGHT,42,GM
6/10/2023,ILLEX,143,MANTLE LENGTH,154,MM,WEIGHT,70,GM
6/10/2023,ILLEX,144,MANTLE LENGTH,146,MM,WEIGHT,54,GM
6/10/2023,ILLEX,145,MANTLE LENGTH,127,MM,WEIGHT,40,GM
6/10/2023,ILLEX,146,MANTLE LENGTH,132,MM,WEIGHT,42,GM
6/10/2023,ILLEX,147,MANTLE LENGTH,130,MM,WEIGHT,42,GM
6/10/2023,ILLEX,148,MANTLE LENGTH,130,MM,WEIGHT,42,GM
6/10/2023,ILLEX,149,MANTLE LENGTH,150,MM,WEIGHT,66,GM
6/10/2023,ILLEX,150,MANTLE LENGTH,147,MM,WEIGHT,44,GM
6/10/2023,ILLEX,151,MANTLE LENGTH,141,MM,WEIGHT,56,GM
6/10/2023,ILLEX,152,MANTLE LENGTH,135,MM,WEIGHT,48,GM
6/10/2023,ILLEX,153,MANTLE LENGTH,120,MM,WEIGHT,38,GM
6/10/2023,ILLEX,154,MANTLE LENGTH,130,MM,WEIGHT,48,GM
6/10/2023,ILLEX,155,MANTLE LENGTH,132,MM,WEIGHT,44,GM
6/10/2023,ILLEX,156,MANTLE LENGTH,125,MM,WEIGHT,36,GM
6/10/2023,ILLEX,157,MANTLE LENGTH,146,MM,WEIGHT,62,GM
6/10/2023,ILLEX,158,MANTLE LENGTH,132,MM,WEIGHT,42,GM
6/10/2023,ILLEX,159,MANTLE LENGTH,129,MM,WEIGHT,34,GM
6/10/2023,ILLEX,160,MANTLE LENGTH,123,MM,WEIGHT,38,GM
6/10/2023,ILLEX,161,MANTLE LENGTH,135,MM,WEIGHT,56,GM
6/10/2023,ILLEX,162,MANTLE LENGTH,150,MM,WEIGHT,70,GM
6/10/2023,ILLEX,163,MANTLE LENGTH,114,MM,WEIGHT,32,GM
6/10/2023,ILLEX,164,MANTLE LENGTH,140,MM,WEIGHT,52,GM
6/10/2023,ILLEX,165,MANTLE LENGTH,128,MM,WEIGHT,38,GM
6/10/2023,ILLEX,166,MANTLE LENGTH,135,MM,WEIGHT,48,GM
6/10/2023,ILLEX,167,MANTLE LENGTH,176,MM,WEIGHT,94,GM
6/10/2023,ILLEX,168,MANTLE LENGTH,135,MM,WEIGHT,46,GM
6/10/2023,ILLEX,169,MANTLE LENGTH,143,MM,WEIGHT,50,GM
6/10/2023,ILLEX,170,MANTLE LENGTH,139,MM,WEIGHT,46,GM
6/10/2023,ILLEX,171,MANTLE LENGTH,131,MM,WEIGHT,50,GM
6/10/2023,ILLEX,172,MANTLE LENGTH,144,MM,WEIGHT,58,GM
6/10/2023,ILLEX,173,MANTLE LENGTH,133,MM,WEIGHT,40,GM
6/10/2023,ILLEX,174,MANTLE LENGTH,129,MM,WEIGHT,40,GM
6/10/2023,ILLEX,175,MANTLE LENGTH,143,MM,WEIGHT,56,GM
6/10/2023,ILLEX,176,MANTLE LENGTH,132,MM,WEIGHT,44,GM
6/10/2023,ILLEX,177,MANTLE LENGTH,127,MM,WEIGHT,40,GM
6/10/2023,ILLEX,178,MANTLE LENGTH,139,MM,WEIGHT,48,GM
6/10/2023,ILLEX,179,MANTLE LENGTH,130,MM,WEIGHT,38,GM
6/10/2023,ILLEX,180,MANTLE LENGTH,140,MM,WEIGHT,48,GM
6/10/2023,ILLEX,181,MANTLE LENGTH,151,MM,WEIGHT,2,GM
6/10/2023,ILLEX,182,MANTLE LENGTH,144,MM,WEIGHT,68,GM
6/10/2023,ILLEX,183,MANTLE LENGTH,126,MM,WEIGHT,38,GM
6/10/2023,ILLEX,184,MANTLE LENGTH,133,MM,WEIGHT,46,GM
6/10/2023,ILLEX,185,MANTLE LENGTH,120,MM,WEIGHT,36,GM
6/10/2023,ILLEX,186,MANTLE LENGTH,133,MM,WEIGHT,42,GM
6/10/2023,ILLEX,187,MANTLE LENGTH,141,MM,WEIGHT,52,GM
6/10/2023,ILLEX,188,MANTLE LENGTH,134,MM,WEIGHT,40,GM
6/10/2023,ILLEX,189,MANTLE LENGTH,131,MM,WEIGHT,42,GM
6/10/2023,ILLEX,190,MANTLE LENGTH,131,MM,WEIGHT,40,GM
6/10/2023,ILLEX,191,MANTLE LENGTH,135,MM,WEIGHT,48,GM
6/10/2023,ILLEX,192,MANTLE LENGTH,133,MM,WEIGHT,50,GM
6/10/2023,ILLEX,193,MANTLE LENGTH,134,MM,WEIGHT,48,GM
6/10/2023,ILLEX,194,MANTLE LENGTH,137,MM,WEIGHT,48,GM
6/10/2023,ILLEX,195,MANTLE LENGTH,126,MM,WEIGHT,34,GM
6/10/2023,ILLEX,196,MANTLE LENGTH,132,MM,WEIGHT,40,GM
6/10/2023,ILLEX,197,MANTLE LENGTH,122,MM,WEIGHT,32,GM
6/10/2023,ILLEX,198,MANTLE LENGTH,129,MM,WEIGHT,44,GM
6/10/2023,ILLEX,199,MANTLE LENGTH,112,MM,WEIGHT,26,GM
6/10/2023,ILLEX,200,MANTLE LENGTH,146,MM,WEIGHT,48,GM
6/10/2023,LOLIGO,1,MANTLE LENGTH,103,MM,WEIGHT,32,GM
6/10/2023,LOLIGO,2,MANTLE LENGTH,82,MM,WEIGHT,22,GM
6/10/2023,LOLIGO,3,MANTLE LENGTH,91,MM,WEIGHT,26,GM
6/10/2023,LOLIGO,4,MANTLE LENGTH,125,MM,WEIGHT,58,GM
6/10/2023,LOLIGO,5,MANTLE LENGTH,94,MM,WEIGHT,32,GM
6/10/2023,LOLIGO,6,MANTLE LENGTH,83,MM,WEIGHT,20,GM
6/10/2023,LOLIGO,7,MANTLE LENGTH,129,MM,WEIGHT,46,GM
6/10/2023,LOLIGO,8,MANTLE LENGTH,87,MM,WEIGHT,24,GM
6/10/2023,LOLIGO,9,MANTLE LENGTH,114,MM,WEIGHT,40,GM
6/10/2023,LOLIGO,10,MANTLE LENGTH,99,MM,WEIGHT,32,GM
6/10/2023,LOLIGO,11,MANTLE LENGTH,89,MM,WEIGHT,26,GM
6/10/2023,LOLIGO,12,MANTLE LENGTH,118,MM,WEIGHT,44,GM
6/10/2023,LOLIGO,13,MANTLE LENGTH,120,MM,WEIGHT,46,GM
6/10/2023,LOLIGO,14,MANTLE LENGTH,130,MM,WEIGHT,50,GM
6/10/2023,LOLIGO,15,MANTLE LENGTH,137,MM,WEIGHT,60,GM
6/10/2023,LOLIGO,16,MANTLE LENGTH,99,MM,WEIGHT,28,GM
6/10/2023,LOLIGO,17,MANTLE LENGTH,122,MM,WEIGHT,48,GM
6/10/2023,LOLIGO,18,MANTLE LENGTH,98,MM,WEIGHT,28,GM
6/10/2023,LOLIGO,19,MANTLE LENGTH,86,MM,WEIGHT,18,GM
6/10/2023,LOLIGO,20,MANTLE LENGTH,58,MM,WEIGHT,8,GM
6/10/2023,LOLIGO,21,MANTLE LENGTH,99,MM,WEIGHT,34,GM
6/10/2023,LOLIGO,22,MANTLE LENGTH,88,MM,WEIGHT,18,GM
6/10/2023,LOLIGO,23,MANTLE LENGTH,92,MM,WEIGHT,26,GM
6/10/2023,LOLIGO,24,MANTLE LENGTH,117,MM,WEIGHT,40,GM
6/10/2023,LOLIGO,25,MANTLE LENGTH,101,MM,WEIGHT,32,GM
6/10/2023,LOLIGO,26,MANTLE LENGTH,90,MM,WEIGHT,26,GM
6/10/2023,LOLIGO,27,MANTLE LENGTH,115,MM,WEIGHT,40,GM
6/10/2023,LOLIGO,28,MANTLE LENGTH,84,MM,WEIGHT,20,GM
6/10/2023,LOLIGO,30,MANTLE LENGTH,98,MM,WEIGHT,30,GM
6/10/2023,LOLIGO,31,MANTLE LENGTH,92,MM,WEIGHT,26,GM
6/10/2023,LOLIGO,32,MANTLE LENGTH,101,MM,WEIGHT,36,GM
6/10/2023,LOLIGO,33,MANTLE LENGTH,110,MM,WEIGHT,36,GM
