DATE,SPECIES,Sample Number,Type,MANTLE LENGTH_MM,Units,Type,WEIGHT_G,Units
6/8/2023,ILLEX,1,MANTLE LENGTH,114,MM,WEIGHT,32,GM
6/8/2023,ILLEX,2,MANTLE LENGTH,117,MM,WEIGHT,34,GM
6/8/2023,ILLEX,3,MANTLE LENGTH,121,MM,WEIGHT,40,GM
6/8/2023,ILLEX,4,MANTLE LENGTH,121,MM,WEIGHT,40,GM
6/8/2023,ILLEX,5,MANTLE LENGTH,120,MM,WEIGHT,30,GM
6/8/2023,ILLEX,6,MANTLE LENGTH,148,MM,WEIGHT,60,GM
6/8/2023,ILLEX,7,MANTLE LENGTH,159,MM,WEIGHT,154,GM
6/8/2023,ILLEX,8,MANTLE LENGTH,97,MM,WEIGHT,24,GM
6/8/2023,ILLEX,9,MANTLE LENGTH,107,MM,WEIGHT,34,GM
6/8/2023,ILLEX,10,MANTLE LENGTH,127,MM,WEIGHT,42,GM
6/8/2023,ILLEX,11,MANTLE LENGTH,119,MM,WEIGHT,36,GM
6/8/2023,ILLEX,12,MANTLE LENGTH,140,MM,WEIGHT,64,GM
6/8/2023,ILLEX,13,MANTLE LENGTH,110,MM,WEIGHT,24,GM
6/8/2023,ILLEX,14,MANTLE LENGTH,107,MM,WEIGHT,34,GM
6/8/2023,ILLEX,15,MANTLE LENGTH,120,MM,WEIGHT,36,GM
6/8/2023,ILLEX,16,MANTLE LENGTH,117,MM,WEIGHT,30,GM
6/8/2023,ILLEX,17,MANTLE LENGTH,134,MM,WEIGHT,42,GM
6/8/2023,ILLEX,18,MANTLE LENGTH,108,MM,WEIGHT,24,GM
6/8/2023,ILLEX,19,MANTLE LENGTH,115,MM,WEIGHT,30,GM
6/8/2023,ILLEX,20,MANTLE LENGTH,120,MM,WEIGHT,36,GM
